,05-feb-21,,,,,,,,,,,
 ,,,,,,,,,,,,
Ticker,Nombre,Clase de activo,Peso (%),Precio,Acciones,Valor de mercado,Valor nominal,Sector,ISIN,Bolsa de valores,Ubicación,Mercado de divisas
AAPL,APPLE INC,Equity,11.96,136.76,"6,256,192.00","855,596,817.92","855,596,817.92",Tecnología de la Información,US0378331005,NASDAQ,Estados Unidos,USD
MSFT,MICROSOFT CORP,Equity,9.42,242.2,"2,782,075.00","673,818,565.00","673,818,565.00",Tecnología de la Información,US5949181045,NASDAQ,Estados Unidos,USD
AMZN,AMAZON COM INC,Equity,8.65,"3,352.15","184,633.00","618,917,510.95","618,917,510.95",Consumo discrecional,US0231351067,NASDAQ,Estados Unidos,USD
TSLA,TESLA INC,Equity,5.14,852.23,"431,648.00","367,863,375.04","367,863,375.04",Consumo discrecional,US88160R1014,NASDAQ,Estados Unidos,USD
GOOG,ALPHABET INC CLASS C,Equity,3.56,"2,098.00","121,380.00","254,655,240.00","254,655,240.00",Comunicación,US02079K1079,NASDAQ,Estados Unidos,USD
FB,FACEBOOK CLASS A INC,Equity,3.32,268.1,"884,602.00","237,161,796.20","237,161,796.20",Comunicación,US30303M1027,NASDAQ,Estados Unidos,USD
GOOGL,ALPHABET INC CLASS A,Equity,3.23,"2,088.83","110,603.00","231,030,864.49","231,030,864.49",Comunicación,US02079K3059,NASDAQ,Estados Unidos,USD
NVDA,NVIDIA CORP,Equity,2.64,543.64,"346,707.00","188,483,793.48","188,483,793.48",Tecnología de la Información,US67066G1040,NASDAQ,Estados Unidos,USD
PYPL,PAYPAL HOLDINGS INC,Equity,2.47,269.44,"656,271.00","176,825,658.24","176,825,658.24",Tecnología de la Información,US70450Y1038,NASDAQ,Estados Unidos,USD
NFLX,NETFLIX INC,Equity,1.91,550.79,"247,453.00","136,294,637.87","136,294,637.87",Comunicación,US64110L1061,NASDAQ,Estados Unidos,USD
INTC,INTEL CORPORATION CORP,Equity,1.87,58.18,"2,295,197.00","133,534,561.46","133,534,561.46",Tecnología de la Información,US4581401001,NASDAQ,Estados Unidos,USD
ADBE,ADOBE INC,Equity,1.85,492.12,"268,694.00","132,229,691.28","132,229,691.28",Tecnología de la Información,US00724F1012,NASDAQ,Estados Unidos,USD
